"","firm","longitude","latitude","collected"
"1","starbucks",-100.47939,31.445517,2008
"2","starbucks",-100.772495,46.838022,2008
"3","starbucks",-100.773402,46.828854,2008
"4","starbucks",-100.781753,46.799913,2008
"5","starbucks",-100.787824,46.800093,2008
"6","starbucks",-101.296216,48.232551,2008
"7","starbucks",-101.8346,33.6157,2008
"8","starbucks",-101.866214,35.189719,2008
"9","starbucks",-101.87067,33.588263,2008
"10","starbucks",-101.871014,33.675158,2008
"11","starbucks",-101.875958,35.222227,2008
"12","starbucks",-101.905422,33.520099,2008
"13","starbucks",-101.922418,33.5915,2008
"14","starbucks",-101.938199,35.178829,2008
"15","starbucks",-101.940749,33.552569,2008
"16","starbucks",-101.957177,33.583888,2008
"17","starbucks",-102.075,31.9735,2008
"18","starbucks",-102.125,32.0179,2008
"19","starbucks",-102.353525,31.888982,2008
"20","starbucks",-102.373728,31.845074,2008
"21","starbucks",-103.210802,44.106416,2008
"22","starbucks",-103.213295,44.084,2008
"23","starbucks",-103.232379,44.068357,2008
"24","starbucks",-103.247432,44.081525,2008
"25","starbucks",-103.251937,44.079879,2008
"26","starbucks",-103.859793,44.499539,2008
"27","starbucks",-104.43337,39.76642,2008
"28","starbucks",-104.508781,37.167094,2008
"29","starbucks",-104.522697,33.407072,2008
"30","starbucks",-104.522789,33.381412,2008
"31","starbucks",-104.554154,50.446966,2008
"32","starbucks",-104.602253,38.940939,2008
"33","starbucks",-104.6072,39.3596,2008
"34","starbucks",-104.617953,50.481685,2008
"35","starbucks",-104.61806,38.320263,2008
"36","starbucks",-104.621747,50.404583,2008
"37","starbucks",-104.627488,38.266356,2008
"38","starbucks",-104.633324,38.310106,2008
"39","starbucks",-104.63633,50.475523,2008
"40","starbucks",-104.662415,38.234511,2008
"41","starbucks",-104.672613,39.849987,2008
"42","starbucks",-104.672613,39.849987,2008
"43","starbucks",-104.6737,39.5939,2008
"44","starbucks",-104.694663,40.405266,2008
"45","starbucks",-104.696854,40.395273,2008
"46","starbucks",-104.698662,38.716719,2008
"47","starbucks",-104.701198,38.825013,2008
"48","starbucks",-104.7037,38.895,2008
"49","starbucks",-104.715171,39.60471,2008
"50","starbucks",-104.718249,38.887976,2008
"51","starbucks",-104.720094,38.874061,2008
"52","starbucks",-104.720096,38.873829,2008
"53","starbucks",-104.722117,39.581569,2008
"54","starbucks",-104.724263,39.579925,2008
"55","starbucks",-104.724895,39.575413,2008
"56","starbucks",-104.7292,38.3142,2008
"57","starbucks",-104.735017,40.405321,2008
"58","starbucks",-104.735849,40.422687,2008
"59","starbucks",-104.739194,38.932442,2008
"60","starbucks",-104.746652,38.812768,2008
"61","starbucks",-104.74771,40.394962,2008
"62","starbucks",-104.748508,40.422666,2008
